[2023-11-22 08:45:49,491] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:45:50,114] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:45:50,357] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:45:51,110] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:45:51,336] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:46:22,925] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:46:22,954] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:46:23,046] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:46:49,197] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:46:49,434] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:51:21,982] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
[2023-11-22 08:51:21,983] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x11e165f50>
[2023-11-22 08:51:22,100] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:51:22,116] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:51:22,121] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:51:22,123] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
[2023-11-22 08:51:22,123] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x11e1ead90>
[2023-11-22 08:51:22,200] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:51:22,330] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:51:22,330] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:51:22,332] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
[2023-11-22 08:51:22,332] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x11e248f10>
[2023-11-22 08:51:22,361] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
[2023-11-22 08:51:22,361] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x11e1b81d0>
[2023-11-22 08:51:22,425] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:51:22,426] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
[2023-11-22 08:51:22,427] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x11e164410>
[2023-11-22 08:51:34,334] DEBUG in streamlit_oauth: CallbackHandler: Session State: {}
[2023-11-22 08:51:34,334] WARNING in streamlit_oauth: CallbackHandler: 'consent' not in session state
[2023-11-22 08:53:25,209] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
[2023-11-22 08:53:25,210] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x12ed5b750>
[2023-11-22 08:53:26,107] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:53:26,329] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:53:26,335] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
[2023-11-22 08:53:26,336] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x12ed43d90>
[2023-11-22 08:53:27,102] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:53:27,113] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:53:27,346] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:53:27,349] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
[2023-11-22 08:53:27,349] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x12edbfc90>
[2023-11-22 08:53:27,377] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:53:27,379] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
[2023-11-22 08:53:27,379] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x12edff210>
[2023-11-22 08:53:28,110] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:53:28,119] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-22 08:53:28,341] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:53:28,346] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-22 08:53:28,348] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
[2023-11-22 08:53:28,349] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x12ed427d0>
[2023-11-22 08:53:28,386] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
[2023-11-22 08:53:28,386] DEBUG in streamlit_oauth: streamlit_app: Consent set in session state: <databricks.sdk.oauth.Consent object at 0x12ed5aa90>
[2023-11-22 08:53:31,627] DEBUG in streamlit_oauth: CallbackHandler: Session State: {}
[2023-11-22 08:53:31,627] WARNING in streamlit_oauth: CallbackHandler: 'consent' not in session state
[2023-11-22 08:55:50,135] DEBUG in streamlit_oauth: streamlit_app: Initiating OAuth flow
